timestamp,arm1_px,arm1_py,arm1_pz,arm1_qw,arm1_qx,arm1_qy,arm1_qz,arm1_gripper,arm2_px,arm2_py,arm2_pz,arm2_qw,arm2_qx,arm2_qy,arm2_qz,arm2_gripper
1760941174650,0.278994,0.177630,1.137049,0.891163,0.194194,-0.326014,0.248659,1,-0.112228,0.167141,1.091067,0.937797,0.220918,0.264940,0.039227,1
1760941174665,0.278560,0.177438,1.136898,0.896581,0.187557,-0.323477,0.237336,1,-0.113015,0.167447,1.091183,0.937414,0.219012,0.268811,0.032075,1
1760941174681,0.278805,0.177469,1.136864,0.896687,0.179959,-0.325603,0.239894,1,-0.113943,0.167296,1.091024,0.936797,0.218041,0.272707,0.022354,1
1760941174696,0.278773,0.177339,1.136963,0.895540,0.190048,-0.328151,0.232821,1,-0.114650,0.167414,1.091425,0.933106,0.222801,0.282253,-0.002573,1
1760941174712,0.278312,0.177331,1.136971,0.891815,0.201102,-0.328655,0.237087,1,-0.115351,0.167224,1.091257,0.930883,0.224874,0.287221,-0.019826,1
1760941174728,0.278013,0.177421,1.137040,0.894117,0.203054,-0.326407,0.229745,1,-0.116054,0.166553,1.091150,0.928614,0.217312,0.297323,-0.045288,1
1760941174748,0.277553,0.177413,1.137048,0.892259,0.206848,-0.327130,0.232538,1,-0.116985,0.166646,1.091447,0.925830,0.225808,0.299166,-0.048465,1
1760941174764,0.277332,0.177122,1.136962,0.895876,0.196985,-0.325552,0.229386,1,-0.117688,0.165974,1.091339,0.922384,0.223134,0.306545,-0.073815,1
1760941174780,0.277037,0.177256,1.137342,0.895126,0.197665,-0.329121,0.226623,1,-0.118407,0.165868,1.091211,0.920985,0.217381,0.309963,-0.091947,1
1760941174797,0.276622,0.177120,1.137477,0.899362,0.183371,-0.324414,0.228645,1,-0.119447,0.164990,1.090856,0.917796,0.216673,0.316489,-0.102653,1
1760941174813,0.276589,0.176990,1.137576,0.895563,0.195351,-0.328065,0.228425,1,-0.120361,0.164513,1.091169,0.910743,0.211436,0.328362,-0.134240,1
1760941174829,0.276187,0.176851,1.137366,0.895449,0.193785,-0.326392,0.232564,1,-0.121108,0.164236,1.091163,0.904160,0.216820,0.338139,-0.145414,1
1760941174848,0.275974,0.176951,1.137300,0.898318,0.188432,-0.323716,0.229622,1,-0.121852,0.163686,1.090859,0.898970,0.215045,0.345743,-0.161466,1
1760941174864,0.275614,0.176617,1.137240,0.899573,0.198655,-0.321933,0.218319,1,-0.122593,0.163059,1.091019,0.896217,0.216904,0.351153,-0.162602,1
1760941174880,0.275336,0.176456,1.137372,0.898408,0.190451,-0.324837,0.225992,1,-0.123310,0.162679,1.091131,0.892218,0.212883,0.359170,-0.172118,1
1760941174896,0.275148,0.176296,1.137187,0.894544,0.199606,-0.326789,0.230560,1,-0.123991,0.162766,1.091183,0.887953,0.220787,0.362883,-0.176375,1
1760941174913,0.274903,0.176456,1.137009,0.897801,0.196920,-0.323744,0.224422,1,-0.124660,0.161990,1.091189,0.888013,0.216069,0.364206,-0.179167,1
1760941174928,0.274822,0.176567,1.137414,0.894452,0.195277,-0.327147,0.234088,1,-0.125419,0.161928,1.091329,0.883410,0.212575,0.371051,-0.191625,1
1760941174948,0.274389,0.176376,1.137262,0.894919,0.195258,-0.326929,0.232620,1,-0.125791,0.162048,1.091750,0.880672,0.211347,0.374874,-0.198035,1
1760941174964,0.274192,0.176453,1.137523,0.894345,0.195175,-0.326912,0.234908,1,-0.126302,0.161344,1.091755,0.881313,0.212242,0.373520,-0.196784,1
1760941174980,0.273860,0.176411,1.137688,0.891083,0.197958,-0.332039,0.237769,1,-0.126502,0.161318,1.092026,0.878048,0.214331,0.377112,-0.202187,1
1760941174997,0.273615,0.176381,1.137721,0.896138,0.193925,-0.325511,0.231025,1,-0.127054,0.161303,1.092199,0.878557,0.214865,0.374783,-0.203734,1
1760941175013,0.273308,0.175849,1.137667,0.896652,0.198260,-0.327342,0.222611,1,-0.127690,0.161267,1.092444,0.877862,0.213301,0.377168,-0.203972,1
1760941175029,0.273151,0.175550,1.137634,0.895667,0.194033,-0.329043,0.227731,1,-0.128114,0.161211,1.092605,0.874062,0.211359,0.380202,-0.216307,1
1760941175048,0.273151,0.175550,1.137634,0.893984,0.192671,-0.328659,0.235909,1,-0.128586,0.161269,1.093155,0.872306,0.218990,0.380705,-0.214920,1
1760941175064,0.272659,0.175411,1.137741,0.894845,0.203352,-0.326659,0.226261,1,-0.128917,0.160971,1.093166,0.870319,0.221859,0.382799,-0.216308,1
1760941175081,0.272472,0.175250,1.137555,0.894999,0.180163,-0.330886,0.238814,1,-0.129367,0.161550,1.093427,0.867126,0.222086,0.385617,-0.223762,1
1760941175097,0.272392,0.175630,1.137708,0.892480,0.194958,-0.331771,0.235368,1,-0.129582,0.161469,1.094090,0.865944,0.226487,0.387368,-0.220887,1
1760941175112,0.272172,0.175338,1.137621,0.900662,0.182479,-0.326327,0.221406,1,-0.130191,0.161605,1.094213,0.862193,0.221977,0.390476,-0.234260,1
1760941175128,0.271867,0.174886,1.137526,0.896918,0.200597,-0.327300,0.219486,1,-0.130437,0.161897,1.094516,0.861698,0.221098,0.390974,-0.236076,1
1760941175148,0.271852,0.174809,1.137911,0.893125,0.193963,-0.332231,0.233086,1,-0.131046,0.162033,1.094639,0.861340,0.221283,0.392427,-0.234792,1
1760941175164,0.271451,0.174670,1.137700,0.896097,0.194620,-0.326941,0.228565,1,-0.131240,0.162474,1.095014,0.857549,0.221168,0.394538,-0.245018,1
1760941175180,0.271126,0.175019,1.137885,0.896298,0.196518,-0.326082,0.227378,1,-0.131621,0.162571,1.095130,0.862466,0.224002,0.389135,-0.233558,1
1760941175196,0.271185,0.175442,1.138013,0.895226,0.184564,-0.330297,0.235395,1,-0.132195,0.162829,1.095908,0.859957,0.231409,0.393423,-0.228349,1
1760941175212,0.271153,0.175311,1.138112,0.894890,0.193676,-0.329127,0.230948,1,-0.132627,0.163322,1.096131,0.855164,0.225683,0.397479,-0.244484,1
1760941175229,0.270966,0.175150,1.137926,0.899772,0.193783,-0.325252,0.216956,1,-0.133238,0.163458,1.096254,0.853570,0.234255,0.399427,-0.238747,1
1760941175248,0.270886,0.175529,1.138078,0.897905,0.197010,-0.322763,0.225340,1,-0.133456,0.163651,1.096678,0.848455,0.226878,0.405195,-0.253906,1
1760941175265,0.270871,0.175452,1.138463,0.895976,0.191739,-0.329362,0.227997,1,-0.134067,0.163787,1.096801,0.848235,0.230087,0.404719,-0.252508,1
1760941175281,0.270625,0.175422,1.138496,0.899096,0.200881,-0.323314,0.216197,1,-0.134241,0.163933,1.096951,0.841956,0.230574,0.408362,-0.266808,1
1760941175297,0.270513,0.175671,1.138747,0.899978,0.199169,-0.322017,0.216047,1,-0.134897,0.164116,1.097349,0.837429,0.226529,0.412377,-0.278107,1
1760941175313,0.270513,0.175671,1.138747,0.899930,0.198175,-0.321432,0.218022,1,-0.135414,0.163789,1.097327,0.832376,0.219654,0.414773,-0.294728,1
1760941175329,0.270513,0.175671,1.138747,0.898207,0.198377,-0.324518,0.220360,1,-0.136025,0.163925,1.097450,0.832838,0.223397,0.412940,-0.293181,1
1760941175348,0.270513,0.175671,1.138747,0.899393,0.197390,-0.323250,0.218264,1,-0.136817,0.163684,1.097710,0.817737,0.215300,0.424298,-0.323920,1
1760941175365,0.270787,0.176072,1.138900,0.899422,0.195496,-0.322297,0.221237,1,-0.137395,0.164016,1.098017,0.812435,0.218726,0.428344,-0.329591,1
1760941175381,0.270706,0.176451,1.139052,0.899149,0.202824,-0.323085,0.214498,1,-0.137929,0.163907,1.098146,0.804789,0.213026,0.432858,-0.345788,1
1760941175398,0.270706,0.176451,1.139052,0.896014,0.193829,-0.325455,0.231664,1,-0.138542,0.164043,1.098269,0.802556,0.216499,0.430017,-0.352302,1
