timestamp,arm1_px,arm1_py,arm1_pz,arm1_qw,arm1_qx,arm1_qy,arm1_qz,arm1_gripper
1760941164697,0.168665,0.135043,1.179053,0.159397,-0.867319,-0.471326,0.014231,1
1760941164713,0.169316,0.135471,1.179565,0.119795,-0.884129,-0.451552,0.008104,1
1760941164729,0.169557,0.135279,1.179406,0.078850,-0.901899,-0.424675,0.003468,1
1760941164749,0.170597,0.135477,1.179957,0.023772,-0.920193,-0.390741,0.000318,1
1760941164765,0.171549,0.134724,1.180107,-0.059616,-0.936345,-0.345976,0.002020,1
1760941164781,0.172677,0.134101,1.180054,-0.106024,-0.935886,-0.335908,0.006554,1
1760941164797,0.173815,0.133395,1.180462,-0.177253,-0.935600,-0.304736,0.019233,1
1760941164813,0.175541,0.132480,1.180636,-0.242500,-0.932221,-0.266016,0.037333,1
1760941164830,0.177192,0.131724,1.181048,-0.293432,-0.924835,-0.235300,0.056670,1
1760941164849,0.179061,0.130796,1.181245,-0.321256,-0.918876,-0.218171,0.069733,1
1760941164865,0.180933,0.129864,1.181407,-0.358319,-0.907836,-0.198617,0.089406,1
1760941164881,0.183150,0.128310,1.181283,-0.374762,-0.902771,-0.186195,0.099449,1
1760941164897,0.185591,0.127219,1.181561,-0.365381,-0.904727,-0.197524,0.094603,1
1760941164913,0.187674,0.125547,1.181736,-0.376897,-0.899564,-0.195248,0.103014,1
1760941164929,0.190120,0.124051,1.181897,-0.382201,-0.896233,-0.197796,0.107543,1
1760941164949,0.192672,0.122607,1.182600,-0.414608,-0.883699,-0.172365,0.132159,1
1760941164965,0.195043,0.120947,1.182771,-0.432208,-0.875383,-0.158888,0.147160,1
1760941164981,0.197610,0.119665,1.183068,-0.459995,-0.860627,-0.134066,0.172488,1
1760941164997,0.200335,0.118281,1.183321,-0.470765,-0.854034,-0.123653,0.183621,1
1760941165013,0.202646,0.116570,1.183149,-0.481738,-0.846418,-0.118115,0.193790,1
1760941165029,0.204900,0.115644,1.183545,-0.476168,-0.849083,-0.130474,0.187879,1
1760941165049,0.206896,0.114665,1.183684,-0.483528,-0.844472,-0.124592,0.193764,1
1760941165065,0.208916,0.113855,1.183628,-0.492527,-0.837963,-0.117978,0.203262,1
1760941165081,0.210942,0.113042,1.183945,-0.490936,-0.837329,-0.127178,0.204175,1
1760941165097,0.215243,0.111418,1.183193,-0.442521,-0.880987,0.060026,0.156313,1
1760941165113,0.216968,0.110314,1.183198,-0.446584,-0.878172,0.063050,0.159380,1
1760941165129,0.216273,0.111294,1.184353,-0.502133,-0.824101,-0.139950,0.221662,1
1760941165149,0.218426,0.110528,1.184348,-0.505444,-0.821219,-0.139287,0.225222,1
1760941165165,0.222558,0.108423,1.183471,-0.441439,-0.882375,0.054913,0.153399,1
1760941165180,0.221631,0.109502,1.184013,-0.505992,-0.820308,-0.146219,0.222908,1
1760941165196,0.223512,0.108851,1.183891,-0.511822,-0.815359,-0.137412,0.233124,1
1760941165213,0.225046,0.108301,1.183071,-0.510983,-0.816017,-0.144165,0.228534,1
1760941165229,0.226591,0.107430,1.182704,-0.510874,-0.816311,-0.144948,0.227231,1
1760941165249,0.227924,0.106861,1.181545,-0.510529,-0.816458,-0.151506,0.223163,1
1760941165265,0.228953,0.106268,1.180784,-0.513234,-0.814155,-0.150764,0.225858,1
1760941165281,0.230346,0.105841,1.179572,-0.502035,-0.821962,-0.164914,0.212469,1
1760941165297,0.231209,0.105232,1.178141,-0.501681,-0.821666,-0.167514,0.212416,1
1760941165315,0.232025,0.104586,1.176768,-0.483326,-0.832664,-0.192973,0.189283,1
1760941165330,0.232779,0.103639,1.175164,-0.465827,-0.841845,-0.213030,0.170060,1
1760941165349,0.233378,0.103036,1.173478,-0.465265,-0.842642,-0.212741,0.168001,1
1760941165365,0.233599,0.102512,1.171362,-0.454268,-0.848009,-0.224509,0.155296,1
1760941165380,0.234067,0.101947,1.169865,-0.446815,-0.852880,-0.225603,0.148509,1
1760941165397,0.234238,0.101516,1.168002,-0.427968,-0.862993,-0.233678,0.132215,1
1760941165413,0.234116,0.101429,1.165963,-0.410334,-0.869170,-0.249651,0.117657,1
1760941165429,0.233812,0.101212,1.164039,-0.391068,-0.875360,-0.264735,0.103570,1
1760941165449,0.233048,0.100474,1.162097,-0.369624,-0.882260,-0.277468,0.089479,1
1760941165464,0.232358,0.100299,1.160104,-0.342337,-0.888223,-0.297128,0.074696,1
1760941165481,0.231279,0.100127,1.158139,-0.309792,-0.893698,-0.319004,0.059737,1
1760941165499,0.230353,0.099962,1.156457,-0.296021,-0.894919,-0.329584,0.053537,1
1760941165514,0.228727,0.099557,1.154439,-0.258733,-0.894023,-0.363659,0.039137,1
1760941165529,0.228059,0.099581,1.153086,-0.231437,-0.893103,-0.384528,0.030691,1
1760941165549,0.226209,0.099226,1.151646,-0.183787,-0.894275,-0.407592,0.019054,1
1760941165565,0.223852,0.099556,1.150220,-0.135901,-0.893838,-0.427178,0.010160,1
1760941165581,0.221484,0.099344,1.148504,-0.081068,-0.892496,-0.443697,0.003509,1
1760941165597,0.218901,0.100081,1.147250,0.022143,-0.873139,-0.486969,0.000251,1
1760941165613,0.216372,0.100761,1.146244,0.080530,-0.863517,-0.497839,0.003228,1
1760941165631,0.213745,0.101193,1.145272,0.115686,-0.864000,-0.489977,0.006679,1
1760941165649,0.210952,0.102155,1.144815,0.166908,-0.842970,-0.511220,0.014058,1
1760941165665,0.208406,0.103105,1.144420,0.195599,-0.831493,-0.519591,0.019640,1
1760941165683,0.205457,0.103735,1.143635,0.251434,-0.809752,-0.529145,0.032971,1
1760941165697,0.202639,0.104253,1.143584,0.258365,-0.810729,-0.524153,0.035077,1
1760941165713,0.199871,0.105087,1.143506,0.261753,-0.813178,-0.518564,0.036305,1
1760941165729,0.197174,0.106091,1.143410,0.263032,-0.815752,-0.513837,0.036524,1
1760941165749,0.194450,0.106952,1.143403,0.294718,-0.793164,-0.530891,0.046764,1
1760941165765,0.191897,0.107599,1.143203,0.278211,-0.806075,-0.520694,0.041457,1
