timestamp,landmark_index,landmark_name,x,y,z,rx,ry,rz
1754660366676,0,WRIST,-0.061036,0.005173,0.699021,-1.046543,2.705284,-0.438175
1754660366719,0,WRIST,-0.051160,0.002632,0.701433,-1.018050,2.728244,-0.470913
1754660366762,0,WRIST,-0.039644,-0.000544,0.703918,-0.988156,2.729473,-0.427483
1754660366806,0,WRIST,-0.026804,-0.004248,0.706243,-0.943631,2.748753,-0.446826
1754660366849,0,WRIST,-0.012581,-0.009053,0.708873,-0.898382,2.746133,-0.488852
1754660366891,0,WRIST,0.002424,-0.013982,0.711296,-0.856373,2.774381,-0.456927
1754660366932,0,WRIST,0.017987,-0.019987,0.714050,-0.803492,2.802119,-0.467417
1754660366975,0,WRIST,0.034060,-0.027027,0.716707,-0.754643,2.820013,-0.476040
1754660367016,0,WRIST,0.050735,-0.035802,0.719544,-0.689398,2.826980,-0.464443
1754660367061,0,WRIST,0.066967,-0.046355,0.723349,-0.616413,2.842566,-0.464823
1754660367105,0,WRIST,0.082230,-0.057451,0.728032,-0.547229,2.849951,-0.474120
1754660367146,0,WRIST,0.090071,-0.067721,0.733830,-0.577576,2.565284,-0.871833
1754660367596,0,WRIST,0.098559,-0.075452,0.746115,-0.528432,2.535521,-0.856326
1754660367640,0,WRIST,0.087751,-0.070191,0.743048,-0.585036,2.558310,-0.862119
1754660367683,0,WRIST,0.074518,-0.064496,0.739582,-0.617774,2.564791,-0.840083
1754660367726,0,WRIST,0.064366,-0.057705,0.735684,-0.632754,2.871450,-0.338991
1754660367770,0,WRIST,0.050766,-0.050703,0.732837,-0.674922,2.842152,-0.315653
1754660367811,0,WRIST,0.038841,-0.044990,0.729839,-0.703704,2.845153,-0.305399
1754660367853,0,WRIST,0.027670,-0.039977,0.726246,-0.748751,2.831840,-0.309372
1754660367895,0,WRIST,0.016384,-0.035055,0.723151,-0.785402,2.818166,-0.333859
1754660367938,0,WRIST,0.004637,-0.029620,0.720354,-0.833571,2.829438,-0.301079
1754660367981,0,WRIST,-0.008746,-0.024089,0.718345,-0.887667,2.812863,-0.309199
1754660368023,0,WRIST,-0.022543,-0.018389,0.716404,-0.940677,2.808980,-0.292424
1754660368065,0,WRIST,-0.035864,-0.013483,0.715299,-0.991602,2.779311,-0.261436
1754660368106,0,WRIST,-0.047381,-0.010455,0.714222,-1.057087,2.832407,-0.236181
1754660368148,0,WRIST,-0.055803,-0.008875,0.712824,-1.076507,2.806991,-0.272160
1754660368190,0,WRIST,-0.063070,-0.006040,0.711306,-1.108996,2.799032,-0.241320
1754660368232,0,WRIST,-0.069849,-0.002771,0.709686,-1.144047,2.742440,-0.321974
1754660368274,0,WRIST,-0.077083,0.001049,0.707803,-1.233875,2.850367,-0.143012
1754660368315,0,WRIST,-0.083180,0.003710,0.705308,-1.241950,2.833691,-0.218018
1754660368357,0,WRIST,-0.086476,0.005539,0.702455,-1.240210,2.773552,-0.296287
1754660368400,0,WRIST,-0.086838,0.007421,0.702481,-1.234794,2.732564,-0.310783
1754660368441,0,WRIST,-0.086128,0.008912,0.703196,-1.229974,2.723886,-0.331500
1754660368484,0,WRIST,-0.084537,0.011546,0.702737,-1.223461,2.679723,-0.339380
1754660368526,0,WRIST,-0.082044,0.016782,0.701315,-1.247925,2.670148,-0.256059
1754660368568,0,WRIST,-0.079166,0.022956,0.698880,-1.256788,2.673265,-0.202548
1754660368610,0,WRIST,-0.076381,0.029730,0.696325,-1.272900,2.664025,-0.195171
1754660368653,0,WRIST,-0.074244,0.037134,0.694193,1.328106,-2.764795,0.028240
1754660368696,0,WRIST,-0.071115,0.044532,0.692555,-1.283022,2.637313,-0.220442
1754660368737,0,WRIST,-0.068839,0.049871,0.689686,-1.293986,2.643160,-0.301999
1754660368781,0,WRIST,-0.067218,0.054695,0.688936,-1.299829,2.630805,-0.146705
1754660368824,0,WRIST,-0.065286,0.058460,0.688296,-1.317130,2.661054,-0.240591
1754660368865,0,WRIST,-0.062346,0.062341,0.686239,-1.312236,2.642845,-0.317960
1754660368906,0,WRIST,-0.059026,0.065943,0.684663,-1.308068,2.625948,-0.397042
1754660368947,0,WRIST,-0.054979,0.068776,0.682985,-1.310941,2.642093,-0.331747
1754660368987,0,WRIST,-0.049584,0.069952,0.683171,-1.287514,2.651744,-0.269475
1754660369029,0,WRIST,-0.042445,0.069407,0.683926,-1.256826,2.662839,-0.256608
1754660369071,0,WRIST,-0.034863,0.068848,0.684595,-1.245749,2.669332,-0.319097
1754660369112,0,WRIST,-0.027299,0.067580,0.684314,-1.217493,2.689158,-0.241912
1754660369153,0,WRIST,-0.020012,0.066243,0.684225,-1.204467,2.680676,-0.351581
1754660369197,0,WRIST,-0.013471,0.065079,0.685683,-1.175748,2.678084,-0.352462
1754660369239,0,WRIST,-0.008760,0.063631,0.687006,-1.153765,2.675357,-0.346682
1754660369282,0,WRIST,-0.004558,0.061363,0.688560,-1.126403,2.710898,-0.305590
1754660369324,0,WRIST,-0.000826,0.057315,0.689863,-1.097392,2.702517,-0.288610
1754660369367,0,WRIST,0.001573,0.052929,0.691619,-1.087968,2.728955,-0.344772
1754660369409,0,WRIST,0.002327,0.050358,0.694334,-1.068622,2.706984,-0.321109
1754660369450,0,WRIST,0.003158,0.047825,0.694800,-1.065096,2.718771,-0.365601
1754660369489,0,WRIST,0.005308,0.045763,0.695633,-1.055894,2.714731,-0.353359
1754660369530,0,WRIST,0.008650,0.043182,0.697062,-1.036815,2.702364,-0.354094
1754660369573,0,WRIST,0.011434,0.040200,0.697538,-1.045508,2.730560,-0.342369
1754660369615,0,WRIST,0.014571,0.036617,0.699302,-1.012631,2.712539,-0.320365
1754660369656,0,WRIST,0.018436,0.032328,0.700779,-0.997412,2.733085,-0.383549
1754660369697,0,WRIST,0.022400,0.028148,0.703441,-0.964011,2.714690,-0.395606
1754660369741,0,WRIST,0.025995,0.023741,0.705789,-0.951432,2.725897,-0.386822
1754660369782,0,WRIST,0.028774,0.018698,0.708064,-0.922411,2.736593,-0.370737
1754660369825,0,WRIST,0.030687,0.013225,0.710576,-0.899856,2.743067,-0.399357
1754660369867,0,WRIST,0.032042,0.007969,0.711806,-0.888275,2.759949,-0.385717
1754660369908,0,WRIST,0.032191,0.003497,0.712686,-0.862404,2.734298,-0.338610
1754660369950,0,WRIST,0.032160,-0.000678,0.712970,-0.849726,2.756718,-0.378782
1754660369991,0,WRIST,0.032436,-0.004752,0.713550,-0.840233,2.755837,-0.404155
